"filename","category","tags"
"at-sign","Communication","signature,board,street,wayfinding"
"at-sign-circle","Communication","signature,board,street,wayfinding,round,radio,dot,shape"
"atom","Science","science,chemistry,physics,nuclear"
"attachment","Docs","document,file,paper,text"
"augmented-reality","Gaming","ar,tech,game,play,controller,fun"
"auto-flash","Photos and Videos","lightning,photo,speed,bolt"
"avi-format","Photos and Videos","media,image,camera,record"
"axes","Design Tools","design,creative,layout,figma"
"backward-15-seconds","Music","audio,song,instrument,sound"
"badge-check","Social","social,twitter,instagram,share,done,success,tick,approve,ok,complete"
"bag","Clothing","luggage,suitcase,travel,pack"
"balcony","Buildings","architecture,city,place,urban"
"bank","Finance","money,finance,building,cash"
"barcode","Shopping","scan,sku,product,inventory"
"basketball","Activities","sport,hobby,leisure,outdoor"
"basketball-field","Activities","sport,hobby,leisure,outdoor"
"bathroom","Buildings","architecture,city,place,urban"
"battery-25","System","energy,source,charge,power,level,electric"
"battery-50","System","energy,source,charge,power,level,electric"
"battery-75","System","energy,source,charge,power,level,electric"
"battery-charging","System","energy,source,charge,power,level,electric"
"battery-empty","System","energy,source,charge,power,level,electric"
"battery-full","System","energy,source,charge,power,level,electric"
"battery-indicator","Other","energy,source,charge,power,level,electric"
"battery-slash","System","power,charge,energy,level,electric"
"battery-warning","System","energy,source,charge,power,level,electric,alert,caution,danger,attention"
"bbq","Food","meal,restaurant,cooking,kitchen"
"beach-bag","Clothing","sea,ocean,vacation,sand,luggage,suitcase,travel,pack"
"bed","Home","sleep,home,sleeping,house,domestic,appliance,interior"
"bed-ready","Home","sleep,home,sleeping,house,domestic,appliance,interior"
"behance","Social","network,share,community,people"
"behance-tag","Social","label,badge,chip,price"
"bell","Communication","notification,alert,ring,sound,reminder"
"bell-notification","Communication","notification,alert,ring,sound,reminder"
"bell-off","Communication","notification,alert,ring,sound,reminder,disabled,inactive,muted,disconnected"
"bicycle","Transport","cycle,bike,transport,sport,life,activity,cycling,pedal"
"bin","System","trash,computer,os,settings,desktop"
"bin-full","System","trash,computer,os,settings,desktop"
"bin-half","System","trash,computer,os,settings,desktop"
"bin-minus-in","System","trash,remove,delete,clean,subtract,collapse"
"bin-plus-in","System","trash,add,new,create,increase"
"binocular","Organization","sort,manage,structure,productivity"
"birthday-cake","Activities","birthday,dessert,sweet,party"
"bishop","Gaming","game,chess,play,controller,fun"
"bitbucket","Git","git,repository,github"
"bitcoin-circle","Finance","crypto,currency,blockchain,btc,round,radio,dot,shape"
"bitcoin-rotate-out","Finance","crypto,currency,blockchain,btc,spin,turn,orientation,pivot"
"bluetooth","Connectivity","wireless,pairing,peripheral,network,internet,signal,online"
"bluetooth-tag","Connectivity","wireless,pairing,peripheral,label,badge,chip,price"
"bold","Editor","text,writing,format,content"
"bold-square","Editor","shape,box,checkbox,region"
"bonfire","Activities","sport,hobby,leisure,outdoor"
"book","Activities","read,education,library,learn"
"book-lock","Activities","read,education,library,learn,secure,password,private,encrypt"
"book-stack","Activities","read,education,library,learn"
"bookmark","Organization","save,favorite,marker,tab"
"bookmark-book","Activities","save,favorite,marker,tab,read,education,library,learn"
"bookmark-circle","Organization","save,favorite,marker,tab,round,radio,dot,shape"
"border-bl","Design Tools","outline,stroke,frame,edge"
"border-bottom","Design Tools","outline,stroke,frame,edge"
"border-br","Design Tools","outline,stroke,frame,edge"
"border-inner","Design Tools","outline,stroke,frame,edge"
"border-left","Design Tools","outline,stroke,frame,edge"
"border-out","Design Tools","outline,stroke,frame,edge"
"border-right","Design Tools","outline,stroke,frame,edge"
"border-tl","Design Tools","outline,stroke,frame,edge"
"border-top","Design Tools","outline,stroke,frame,edge"
"border-tr","Design Tools","outline,stroke,frame,edge"
"bounce-left","Animations","spring,easing,oscillate,elastic,animation"
"bounce-right","Animations","spring,easing,oscillate,elastic,animation"
"bowling-ball","Activities","sport,hobby,leisure,outdoor"
"box","Home","house,domestic,appliance,interior"
"box-3d-center","3D Editor","modeling,blender,4d,3d,mesh,render"
"box-3d-point","3D Editor","modeling,blender,4d,3d,mesh,render,anchor,handle,node,bezier"
"box-3d-three-points","3D Editor","modeling,blender,4d,3,triple,triangle,menu"
"box-iso","Home","house,domestic,appliance,interior"
"boxing-glove","Activities","sport,hobby,leisure,outdoor"
"brain","Science","mind,ai,think,mental"
"brain-electricity","Science","mind,ai,think,mental"
"brain-research","Science","mind,ai,think,mental"
"brain-warning","Science","mind,ai,think,mental,alert,caution,danger,attention"
"bread-slice","Food","meal,restaurant,cooking,kitchen"
"bridge-3d","3D Editor","modeling,blender,4d,3d,mesh,render"
"bridge-surface","3D Editor","3d,modeling,mesh,render"
"bright-crown","Gaming","king,winner,vip,premium"
"bright-star","Gaming","favorite,rating,review,bookmark"
"brightness","System","setting,light,contrast,computer,os,settings,desktop"
"brightness-window","System","browser,os,setting,light,contrast,computer,settings,desktop"
"bubble-download","Communication","save,import,fetch,get,file"
"bubble-income","Communication","chat,message,contact,talk"
"bubble-outcome","Communication","chat,message,contact,talk"
"bubble-search","Communication","find,magnify,lookup,query"
"bubble-star","Communication","favorite,rating,review,bookmark"
"bubble-upload","Communication","cloud,send,export,share"
"bubble-warning","Communication","alert,caution,danger,attention"
"bubble-xmark","Communication","error,issue,close,cancel,delete,remove,dismiss,clear,wrong"
"building","Buildings","city,office,architecture,place"
"bus","Transport","transport,station,track,public,shuttle,transit,vehicle"
"bus-green","Transport","clean,environment,nature,energy,transport,public,transit,vehicle"
"bus-stop","Transport","transport,station,track,public,shuttle,transit,vehicle,halt,square,media,end"
"c-square","Typography","carbon,element,shape,box,checkbox,region"
"cable-tag","Connectivity","label,badge,chip,price"
"calculator","System","math,operation,computer,os,settings,desktop"
"calendar","System","organization,organisation,plan,planning,date,day,month,year,schedule,event,planner"
"calendar-minus","System","date,schedule,event,planner,month,subtract,remove,delete,collapse"
"calendar-plus","System","date,schedule,event,planner,month,add,new,create,increase"
"camera","Photos and Videos","photo,picture,lens,shoot,selfie"
"candlestick-chart","Finance","trading,stocks,chart,finance"
"car","Transport","vehicle,auto,drive,driving,transport"
"card-lock","Finance","secure,password,private,encrypt"
"card-no-access","Finance","forbidden,stop,banned,block"
"card-reader","Finance","money,payment,banking,budget"
"card-shield","Finance","security,safe,protection,trust"
"card-wallet","Finance","money,cards,purse,finance"
"cart","Shopping","shopping,basket,ecommerce,checkout"
"cart-alt","Shopping","shopping,basket,ecommerce,checkout"
"cart-minus","Shopping","remove,shopping,basket,ecommerce,checkout,subtract,delete,collapse"
"cart-plus","Shopping","shopping,basket,ecommerce,checkout,add,new,create,increase"
"cash","Finance","money,bills,currency,payment"
"cell-2x2","Layout","grid,structure,template,spacing"
"cellar","Buildings","architecture,city,place,urban"
"center-align","Design Tools","alignment,layout,text,edge"
"chat-bubble","Communication","message,sms,conversation,texting,talk,support"
"chat-bubble-check","Communication","message,sms,conversation,texting,talk,support,done,success,tick,approve,ok,complete"
"chat-bubble-empty","Communication","message,sms,conversation,texting,talk,support"
"chat-bubble-question","Communication","message,sms,conversation,texting,talk,support,help,faq,unknown"
"chat-bubble-translate","Communication","message,sms,conversation,texting,talk,support,language,i18n,locale,global"
"chat-bubble-warning","Communication","message,sms,conversation,texting,talk,support,alert,caution,danger,attention"
"chat-bubble-xmark","Communication","error,issue,remove,delete,message,sms,conversation,texting,talk,support,close,cancel,dismiss,clear,wrong"
"chat-lines","Communication","message,talk,conversation,support"
"chat-minus-in","Communication","message,talk,conversation,support,subtract,remove,delete,collapse"
"chat-plus-in","Communication","message,talk,conversation,support,add,new,create,increase"
"check","Actions","done,success,tick,approve,ok,complete"
"check-circle","Actions","done,success,tick,approve,ok,complete,round,radio,dot,shape"
"check-square","Actions","done,success,tick,approve,ok,complete,shape,box,checkbox,region"
"chocolate","Food","meal,restaurant,cooking,kitchen"
"chromecast","Devices","hardware,gadget,electronics,tech"
"chromecast-active","Devices","hardware,gadget,electronics,tech"
"church","Buildings","religion,wedding,building,faith"
"church-side","Buildings","religion,wedding,building,faith"
"cigarette-slash","Activities","smoking,smoke,tobacco,cigarette,health,cancer,forbidden,prohibited,sport,hobby,leisure,outdoor"
"cinema-old","Activities","movie,film,theater,video"
"circle","Shapes","round,radio,dot,shape"
"circle-spark","Other","ai,artificial,intelligence,round,radio,dot,shape,magic,new,highlight"
"city","Buildings","architecture,city,place,urban"
"clipboard-check","Actions","paste,copy,notes,task,done,success,tick,approve,ok,complete"
"clock","Other","time,watch,hour,schedule"
"clock-rotate-right","Shopping","time,watch,hour,schedule,spin,turn,orientation,pivot"
"closed-captions-tag","Photos and Videos","label,badge,chip,price"
"closet","Home","house,domestic,appliance,interior"
"cloud","Weather","sync,storage,online,backup,weather"
"cloud-bookmark","Cloud","sync,storage,online,backup,weather,save,favorite,marker,tab"
"cloud-check","Cloud","sync,storage,online,backup,weather,done,success,tick,approve,ok,complete"
"cloud-desync","Cloud","sync,storage,online,backup,weather"
"cloud-download","Cloud","sync,storage,online,backup,weather,save,import,fetch,get,file"
"cloud-square","Cloud","sync,storage,online,backup,weather,shape,box,checkbox,region"
"cloud-sunny","Weather","weather,clouds,sync,storage,online,backup"
"cloud-sync","Cloud","sync,storage,online,backup,weather"
"cloud-upload","Cloud","sync,storage,online,backup,weather,cloud,send,export,share"
"cloud-xmark","Cloud","error,issue,sync,storage,online,backup,weather,close,cancel,delete,remove,dismiss,clear,wrong"
"code","Development","develop,programming,source,script"
"code-brackets","Development","develop,programming,source,script"
"code-brackets-square","Development","develop,programming,source,script,shape,box,checkbox,region"
"codepen","Development","code,dev,programming,software"
"coffee-cup","Food","cafe,drink,morning,caffeine"
"coin-slash","Finance","money,currency,crypto,token"
"coins","Finance","money,payment,banking,budget"
"coins-swap","Finance","conversion,currency,exchange,money,payment,banking,budget"
"collage-frame","Design Tools","border,art,picture,layout"
"collapse","Photos and Videos","media,image,camera,record"
"color-filter","Design Tools","palette,paint,tint,hue,sort,refine,funnel"
"color-picker","Design Tools","palette,paint,tint,hue"
"color-wheel","Design Tools","palette,paint,tint,hue,car,tire,rim,vehicle"
"combine","Design Tools","design,creative,layout,figma"
"commodity","Finance","gold,ingot,bar,money,payment,banking,budget"
"community","Users","people,group,social,team"
"comp-align-bottom","Design Tools","figma,design,alignment,layout,text,edge"
"comp-align-left","Design Tools","figma,design,alignment,layout,text,edge"
"comp-align-right","Design Tools","figma,design,alignment,layout,text,edge"
"comp-align-top","Design Tools","figma,design,alignment,layout,text,edge"
"compact-disc","Music","audio,song,instrument,sound"
